# en|sv|da|nb|de — release review additions
Secure random numbers are unavailable. Use a current browser.|Säkra slumptal saknas. Använd en modern webbläsare.|Sikre tilfældige tal er ikke tilgængelige. Brug en moderne browser.|Sikre tilfeldige tall er ikke tilgjengelige. Bruk en moderne nettleser.|Sichere Zufallszahlen sind nicht verfügbar. Verwenden Sie einen aktuellen Browser.
Load an exported TrainMeet file, validate the entire session and activate it only after reviewing the station layout and timetable.|Läs in en exporterad TrainMeet-fil, validera hela träffen och aktivera den först när stationsplan och tidtabell ser rätt ut.|Indlæs en eksporteret TrainMeet-fil, validér hele træffet, og aktivér først efter kontrol af stationsplan og køreplan.|Last inn en eksportert TrainMeet-fil, valider hele treffet, og aktiver først etter kontroll av stasjonsplan og rutetabell.|Laden Sie eine exportierte TrainMeet-Datei, prüfen Sie das gesamte Treffen und aktivieren Sie es erst nach Kontrolle von Bahnhofsplan und Fahrplan.
Build or replace an independent session on this server. The active session above continues until the draft is activated.|Bygg eller ersätt en fristående körning direkt på servern. Den aktiva träffen ovan fortsätter att gå tills utkastet aktiveras.|Byg eller erstat en selvstændig kørsel på serveren. Det aktive træf ovenfor fortsætter, indtil kladden aktiveres.|Bygg eller erstatt en selvstendig kjøring på serveren. Det aktive treffet ovenfor fortsetter til utkastet aktiveres.|Erstellen oder ersetzen Sie eine eigenständige Session auf dem Server. Das aktive Treffen läuft weiter, bis der Entwurf aktiviert wird.
The order is used when building a simple chain of stations.|Ordningen används när servern bygger en enkel stationskedja.|Rækkefølgen bruges, når serveren bygger en enkel kæde af stationer.|Rekkefølgen brukes når serveren bygger en enkel stasjonskjede.|Die Reihenfolge wird beim Erstellen einer einfachen Bahnhofskette verwendet.
Changes are saved on this server and stay here. The Cloud flow is one-way: Cloud publishes, the server downloads.|Ändringar sparas på den här servern och stannar där. Flödet mot TrainMeet Cloud går bara åt ett håll: Cloud publicerar, servern hämtar.|Ændringer gemmes på denne server og bliver her. Cloud-flowet er envejs: Cloud publicerer, serveren henter.|Endringer lagres på denne serveren og blir her. Cloud-flyten går én vei: Cloud publiserer, serveren henter.|Änderungen bleiben auf diesem Server. Der Cloud-Datenfluss ist einseitig: Cloud veröffentlicht, der Server lädt herunter.
The owner adds and removes users. An administrator can manage the server but cannot change who has access.|Ägaren lägger till och tar bort. En administratör kan sköta hela servern, men inte ändra vilka som har tillgång.|Ejeren tilføjer og fjerner brugere. En administrator kan styre serveren, men ikke ændre, hvem der har adgang.|Eieren legger til og fjerner brukere. En administrator kan styre serveren, men ikke endre hvem som har tilgang.|Der Eigentümer fügt Benutzer hinzu und entfernt sie. Administratoren verwalten den Server, können aber nicht ändern, wer Zugang hat.
Sign-in is required everywhere, including on the server computer. Change the owner's password here; other users set their own.|Inloggning krävs överallt, också på serverdatorn. Här byter du ägarens lösenord; andra användare sätter sina egna.|Login kræves overalt, også på servercomputeren. Skift ejerens adgangskode her; andre brugere vælger deres egen.|Innlogging kreves overalt, også på servermaskinen. Endre eierens passord her; andre brukere velger sitt eget.|Eine Anmeldung ist überall erforderlich, auch am Serverrechner. Hier ändern Sie das Passwort des Eigentümers; andere Benutzer wählen ihr eigenes.
A backup is created before every software update. Restoring replaces|En kopia tas automatiskt före varje programuppdatering. Att återställa byter ut|Der tages en sikkerhedskopi før hver softwareopdatering. Gendannelse erstatter|En sikkerhetskopi tas før hver programoppdatering. Gjenoppretting erstatter|Vor jeder Softwareaktualisierung wird eine Sicherung erstellt. Bei der Wiederherstellung wird
the entire|hela|hele|hele|die gesamte
server database — session, timetable, users and paired devices are restored to the time of the backup.|serverns databas — träff, tidtabell, användare och parkopplade enheter blir de som fanns när kopian togs.|serverens database — træf, køreplan, brugere og parrede enheder gendannes til tidspunktet for kopien.|serverens database — treff, rutetabell, brukere og parkoblede enheter gjenopprettes til tidspunktet for kopien.|Serverdatenbank ersetzt — Treffen, Fahrplan, Benutzer und gekoppelte Geräte werden auf den Sicherungsstand zurückgesetzt.
to confirm overwriting this data|för att bekräfta att den datan skrivs över|for at bekræfte overskrivning af disse data|for å bekrefte overskriving av disse dataene|um das Überschreiben dieser Daten zu bestätigen
to unlock the button|för att låsa upp knappen|for at aktivere knappen|for å aktivere knappen|um die Schaltfläche freizugeben
Removes session configuration, local traffic history, Cloud connection and paired devices. The administrator, server name and current browser sign-in are retained.|Tar bort träffkonfiguration, lokal trafikhistorik, Cloud-koppling och parkopplade enheter. Administratören, servernamnet och den aktiva webbinloggningen behålls.|Fjerner træfkonfiguration, lokal trafikhistorik, Cloud-forbindelse og parrede enheder. Administrator, servernavn og det aktuelle browserlogin bevares.|Fjerner treffkonfigurasjon, lokal trafikkhistorikk, Cloud-tilkobling og parkoblede enheter. Administrator, servernavn og gjeldende nettleserinnlogging beholdes.|Entfernt Treffenkonfiguration, lokalen Verkehrsverlauf, Cloud-Verbindung und gekoppelte Geräte. Administrator, Servername und aktuelle Anmeldung bleiben erhalten.
Download published versions. Nothing is sent back: TrainMeet Cloud is the sole source for session content.|Hämta publicerade versioner. Inget skickas tillbaka: TrainMeet Cloud är enda källan till en träffs innehåll.|Hent publicerede versioner. Intet sendes tilbage: TrainMeet Cloud er den eneste kilde til træffets indhold.|Hent publiserte versjoner. Ingenting sendes tilbake: TrainMeet Cloud er eneste kilde til treffets innhold.|Veröffentlichte Versionen herunterladen. Es wird nichts zurückgesendet: TrainMeet Cloud ist die einzige Quelle für den Inhalt eines Treffens.
Enter the code from a published Cloud version. The connection is saved on the server; the long access key is handled automatically.|Ange koden från en publicerad Cloud-version. Kopplingen sparas på servern och den långa åtkomstnyckeln hanteras automatiskt.|Indtast koden fra en publiceret Cloud-version. Forbindelsen gemmes på serveren; den lange adgangsnøgle håndteres automatisk.|Skriv inn koden fra en publisert Cloud-versjon. Tilkoblingen lagres på serveren; den lange tilgangsnøkkelen håndteres automatisk.|Geben Sie den Code einer veröffentlichten Cloud-Version ein. Die Verbindung wird auf dem Server gespeichert; der lange Zugangsschlüssel wird automatisch verwaltet.
Open each view on a separate TV, computer or tablet. They use the same local state and reconnect automatically.|Öppna varje vy på en egen TV, dator eller surfplatta. De läser samma lokala lägesbild och återansluter automatiskt.|Åbn hver visning på eget TV, computer eller tablet. De bruger samme lokale status og genopretter automatisk forbindelsen.|Åpne hver visning på egen TV, datamaskin eller nettbrett. De bruker samme lokale status og kobler til igjen automatisk.|Öffnen Sie jede Ansicht auf einem eigenen Fernseher, Computer oder Tablet. Alle nutzen denselben lokalen Zustand und verbinden sich automatisch erneut.
The clock runs and is stored on TrainMeet Server. All displays share the same time, even without internet.|Klockan körs och sparas på TrainMeet Server. Alla skärmar använder samma tid även när internet saknas.|Uret kører og gemmes på TrainMeet Server. Alle skærme bruger samme tid, også uden internet.|Klokken kjører og lagres på TrainMeet Server. Alle skjermer bruker samme tid, også uten internett.|Die Uhr läuft auf TrainMeet Server und wird dort gespeichert. Alle Anzeigen nutzen dieselbe Zeit, auch ohne Internet.
