# English|Svenska|Dansk|Norsk bokmål|Deutsch
{count} train movements|{count} tågrörelser|{count} togbevægelser|{count} togbevegelser|{count} Zugbewegungen
Drafts, publications and local server connections.|Utkast, publiceringar och lokala serverkopplingar.|Kladder, udgivelser og lokale serverforbindelser.|Utkast, publiseringer og lokale servertilkoblinger.|Entwürfe, Veröffentlichungen und lokale Serververbindungen.
Basic meet settings|Träffens grundinställningar|Træffets grundindstillinger|Treffets grunninnstillinger|Grundeinstellungen des Treffens
Dates, operations and the local meet clock's initial state.|Datum, trafikspel och den lokala träffklockans startläge.|Datoer, trafikspil og det lokale træfurs starttilstand.|Datoer, trafikkspill og den lokale treffklokkens starttilstand.|Termine, Betrieb und Startzustand der lokalen Modellzeituhr.
Source files and AI interpretation|Källfiler och AI-tolkning|Kildefiler og AI-fortolkning|Kildefiler og KI-tolkning|Quelldateien und KI-Auswertung
PDFs and images are read visually, normalized and queued for review.|PDF och bild läses visuellt, normaliseras och läggs i granskningskön.|PDF og billeder læses visuelt, normaliseres og sættes i kø til gennemgang.|PDF og bilder leses visuelt, normaliseres og legges i gjennomgangskøen.|PDFs und Bilder werden visuell gelesen, normalisiert und zur Prüfung vorgemerkt.
Reviewed train movements|Granskade tågrörelser|Gennemgåede togbevægelser|Gjennomgåtte togbevegelser|Geprüfte Zugbewegungen
A shared list after merging duplicates.|En gemensam lista efter dublettsammanslagning.|En fælles liste efter sammenlægning af dubletter.|En felles liste etter sammenslåing av duplikater.|Eine gemeinsame Liste nach dem Zusammenführen von Duplikaten.
Stations, operating points and aliases|Stationer, driftplatser och alias|Stationer, driftssteder og aliaser|Stasjoner, driftssteder og aliaser|Betriebsstellen, Betriebspunkte und Aliasnamen
Change station codes and collect source names without losing connections.|Ändra stationskoder och samla källnamn utan att förlora stationens kopplingar.|Skift stationskoder og saml kildenavne uden at miste stationens forbindelser.|Endre stasjonskoder og samle kildenavn uten å miste stasjonens forbindelser.|Betriebsstellenkürzel ändern und Quellnamen sammeln, ohne Verbindungen zu verlieren.
Station connections|Stationernas samband|Stationernes forbindelser|Stasjonenes forbindelser|Verbindungen der Betriebsstellen
Order, branches and single or double track.|Ordning, förgreningar och enkel- eller dubbelspår.|Rækkefølge, forgreninger og enkelt- eller dobbeltspor.|Rekkefølge, forgreninger og enkelt- eller dobbeltspor.|Reihenfolge, Abzweige und ein- oder zweigleisige Strecken.
TMBoxes and ports|TMBoxar och portar|TMBoxe og porte|TMBoxer og porter|TMBoxen und Anschlüsse
See each station's box and connect track sections to ports A–D.|Se varje stations låda och koppla banans sträckor till port A–D.|Se hver stations boks og tilslut banestrækninger til port A–D.|Se hver stasjons boks og koble banestrekninger til port A–D.|Jede Stationsbox anzeigen und Strecken mit den Anschlüssen A–D verbinden.
Quality check|Kvalitetskontroll|Kvalitetskontrol|Kvalitetskontroll|Qualitätsprüfung
Validate meet|Validera träffen|Valider træffet|Valider treffet|Treffen validieren
Errors block publication and warnings require a deliberate decision.|Fel blockerar publicering och varningar kräver ett medvetet beslut.|Fejl blokerer udgivelse, og advarsler kræver en bevidst beslutning.|Feil blokkerer publisering, og advarsler krever en bevisst beslutning.|Fehler blockieren die Veröffentlichung; Warnungen erfordern eine bewusste Entscheidung.
Publication and connection code|Publicering och anslutningskod|Udgivelse og tilslutningskode|Publisering og tilkoblingskode|Veröffentlichung und Verbindungscode
Publish changes and manage the server connection code.|Publicera ändringar och hantera koden servrar kopplar sig med.|Udgiv ændringer og administrer servernes tilslutningskode.|Publiser endringer og administrer servernes tilkoblingskode.|Änderungen veröffentlichen und den Verbindungscode für Server verwalten.
Local servers|Lokala servrar|Lokale servere|Lokale servere|Lokale Server
Connected TrainMeet Servers|Anslutna TrainMeet Server|Tilsluttede TrainMeet Server|Tilkoblede TrainMeet Server|Verbundene TrainMeet Server
Servers that have redeemed a connection code.|Servrar som har löst in en kopplingskod.|Servere, der har indløst en tilslutningskode.|Servere som har løst inn en tilkoblingskode.|Server, die einen Verbindungscode eingelöst haben.
Installation|Installation|Installation|Installasjon|Installation
Install TrainMeet Server|Installera TrainMeet Server|Installer TrainMeet Server|Installer TrainMeet Server|TrainMeet Server installieren
Choose a platform and follow the steps in order. Commands can be copied directly.|Välj plattform och följ stegen i ordning. Kommandona kan kopieras direkt.|Vælg platform og følg trinnene i rækkefølge. Kommandoerne kan kopieres direkte.|Velg plattform og følg trinnene i rekkefølge. Kommandoene kan kopieres direkte.|Wähle eine Plattform und folge den Schritten. Die Befehle können direkt kopiert werden.
Invite users and manage their details, passwords and permissions.|Bjud in och hantera användarnas uppgifter, lösenord och behörigheter.|Inviter brugere og administrer deres oplysninger, adgangskoder og rettigheder.|Inviter brukere og administrer opplysninger, passord og tilganger.|Benutzer einladen sowie Angaben, Passwörter und Berechtigungen verwalten.
Your account and password, and your organization's Cloud settings.|Ditt konto och lösenord samt organisationens Cloud-inställningar.|Din konto og adgangskode samt organisationens Cloud-indstillinger.|Kontoen og passordet ditt samt organisasjonens Cloud-innstillinger.|Dein Konto und Passwort sowie die Cloud-Einstellungen der Organisation.
from|från|fra|fra|von
to|till|til|til|nach
stations|stationer|stationer|stasjoner|Betriebsstellen
stations ·|stationer ·|stationer ·|stasjoner ·|Betriebsstellen ·
movements ·|rörelser ·|bevægelser ·|bevegelser ·|Bewegungen ·
train movements|tågrörelser|togbevægelser|togbevegelser|Zugbewegungen
train movements ·|tågrörelser ·|togbevægelser ·|togbevegelser ·|Zugbewegungen ·
sections|sträckor|strækninger|strekninger|Strecken
to review|att granska|til gennemgang|til gjennomgang|zu prüfen
files|filer|filer|filer|Dateien
pages|sidor|sider|sider|Seiten
days|dagar|dage|dager|Tage
imported|införda|importerede|importerte|importiert
found train movements ·|hittade tågrörelser ·|fundne togbevægelser ·|funnede togbevegelser ·|gefundene Zugbewegungen ·
connections|anslutningar|forbindelser|tilkoblinger|Verbindungen
latest|senaste|seneste|siste|neueste
Try again|Försök igen|Prøv igen|Prøv igjen|Erneut versuchen
Waiting for server|Väntar på servern|Venter på serveren|Venter på serveren|Wartet auf den Server
Queued|I kö|I kø|I kø|In Warteschlange
Uploaded|Uppladdad|Uploadet|Lastet opp|Hochgeladen
Imported|Införd|Importeret|Importert|Importiert
Error|Fel|Fejl|Feil|Fehler
Unknown station|Okänd station|Ukendt station|Ukjent stasjon|Unbekannte Betriebsstelle
Waiting for your approval|Väntar på ditt godkännande|Venter på din godkendelse|Venter på godkjenningen din|Wartet auf deine Freigabe
Imported into meet data|Införd i träffens data|Importeret i træffets data|Importert i treffets data|In die Treffendaten importiert
Starting…|Startar…|Starter…|Starter…|Wird gestartet…
Start with an empty meet|Börja med en tom träff|Begynd med et tomt træf|Start med et tomt treff|Mit einem leeren Treffen beginnen
Enter a name first, then upload the station timetables.|Du anger namnet först och laddar sedan upp stationernas tidtabeller.|Angiv først navnet, og upload derefter stationernes køreplaner.|Skriv først inn navnet, og last deretter opp stasjonenes rutetabeller.|Gib zuerst den Namen ein und lade dann die Betriebsstellenfahrpläne hoch.
Send test email|Skicka testmail|Send testmail|Send test-e-post|Test-E-Mail senden
Send a test email to|Skicka ett testmail till|Send en testmail til|Send en test-e-post til|Test-E-Mail senden an
Outbox|Utkorg|Udbakke|Utboks|Postausgang
Email delivery|E-postleverans|E-maillevering|E-postlevering|E-Mail-Zustellung
Change password|Byt lösenord|Skift adgangskode|Bytt passord|Passwort ändern
Used for sign-in as well.|Används även vid inloggning.|Bruges også ved login.|Brukes også ved innlogging.|Wird auch zur Anmeldung verwendet.
Confirm with your own password|Bekräfta med ditt eget lösenord|Bekræft med din egen adgangskode|Bekreft med ditt eget passord|Mit deinem eigenen Passwort bestätigen
You remain signed in here. Other sessions and old reset links will be closed.|Du förblir inloggad här. Dina andra inloggningar och gamla återställningslänkar avslutas.|Du forbliver logget ind her. Andre sessioner og gamle nulstillingslinks afsluttes.|Du forblir innlogget her. Andre økter og gamle tilbakestillingslenker avsluttes.|Du bleibst hier angemeldet. Andere Sitzungen und alte Zurücksetzungslinks werden beendet.
The invited person receives a link and chooses their own username and password.|Den inbjudna får ett brev med en länk och väljer själv användarnamn och lösenord.|Den inviterede modtager et link og vælger selv brugernavn og adgangskode.|Den inviterte får en lenke og velger selv brukernavn og passord.|Die eingeladene Person erhält einen Link und wählt selbst Benutzernamen und Passwort.
Loading station and timetable…|Hämtar station och tidtabell…|Henter station og køreplan…|Henter stasjon og rutetabell…|Betriebsstelle und Fahrplan werden geladen…
Current train movements|Aktuella tågrörelser|Aktuelle togbevægelser|Aktuelle togbevegelser|Aktuelle Zugbewegungen
Station activity|Aktuellt på stationen|Aktuelt på stationen|Aktuelt på stasjonen|Aktuelles an der Betriebsstelle
All-day timetable|Hela dagens tidtabell|Hele dagens køreplan|Hele dagens rutetabell|Gesamter Tagesfahrplan
Confirm arrival|Bekräfta ankomst|Bekræft ankomst|Bekreft ankomst|Ankunft bestätigen
Confirm station and continue|Bekräfta station och fortsätt|Bekræft station og fortsæt|Bekreft stasjon og fortsett|Betriebsstelle bestätigen und weiter
Change server or station|Byt server eller station|Skift server eller station|Bytt server eller stasjon|Server oder Betriebsstelle wechseln
From previous operator|Från föregående operatör|Fra forrige operatør|Fra forrige operatør|Vom vorherigen Bediener
Notes|Anmärkning|Bemærkning|Merknad|Bemerkung
Note|Anm|Bem|Merkn|Bem
Arr from|Ank från|Ank fra|Ank fra|Ank von
Dep to|Avg till|Afg til|Avg til|Abf nach
Ongoing shift|Pågående trafikpass|Igangværende vagt|Pågående vakt|Laufender Dienst
Return to start|Till startsidan|Til startsiden|Til startsiden|Zur Startseite
Your server controls the traffic. Language does not change commands or data.|Servern styr trafiken. Språkvalet ändrar inte kommandon eller data.|Serveren styrer trafikken. Sprogvalget ændrer ikke kommandoer eller data.|Serveren styrer trafikken. Språkvalget endrer ikke kommandoer eller data.|Der Server steuert den Betrieb. Die Sprache ändert keine Befehle oder Daten.
Build mode|Byggläge|Byggetilstand|Byggemodus|Aufbaumodus
Back to meet|Tillbaka till träffen|Tilbage til træffet|Tilbake til treffet|Zurück zum Treffen
Rebuild meet|Bygg om träffen|Ombyg træffet|Bygg om treffet|Treffen umbauen
Operating mode|Körläge|Driftstilstand|Driftsmodus|Betriebsmodus
No boxes|Inga boxar|Ingen bokse|Ingen bokser|Keine Boxen
TKL terminal|TKL-terminal|TKL-terminal|TKL-terminal|TKL-Terminal
Local meet clock|Lokal träffklocka|Lokalt træfur|Lokal treffklokke|Lokale Modellzeituhr
Reason when stopping the clock|Orsak när klockan stoppas|Årsag når uret stoppes|Årsak når klokken stoppes|Grund beim Anhalten der Uhr
For example, a technical stop|Till exempel tekniskt stopp|For eksempel teknisk stop|For eksempel teknisk stopp|Zum Beispiel technischer Halt
At the server|Vid servern|Ved serveren|Ved serveren|Am Server
Over the network|Över nätet|Over netværket|Over nettverket|Über das Netzwerk
Locally active|Lokalt aktiv|Lokalt aktiv|Lokalt aktiv|Lokal aktiv
No meet activated|Ingen träff aktiverad|Intet træf aktiveret|Ingen treff aktivert|Kein Treffen aktiviert
Configuration needs correction|Konfigurationen behöver rättas|Konfigurationen skal rettes|Konfigurasjonen må rettes|Konfiguration muss korrigiert werden
Conductor must acknowledge receipt and complete readback. This does not activate authority.|Conductor måste bekräfta mottagning och återläsa. Detta aktiverar inte körtillståndet.|Conductor skal bekræfte modtagelse og gentage ordren. Dette aktiverer ikke køretilladelsen.|Conductor må bekrefte mottak og lese tilbake. Dette aktiverer ikke kjøretillatelsen.|Der Conductor muss den Empfang bestätigen und den Befehl zurücklesen. Dies aktiviert keine Fahrberechtigung.
I have received this exact warrant. Receipt is not readback and is not authority to move.|Jag har tagit emot exakt denna körorder. Mottagning är inte återläsning och ger inte tillstånd att köra.|Jeg har modtaget netop denne kørselsordre. Modtagelse er ikke gentagelse og giver ikke tilladelse til at køre.|Jeg har mottatt nøyaktig denne kjøreordren. Mottak er ikke tilbakelesning og gir ikke tillatelse til å kjøre.|Ich habe genau diesen Fahrbefehl empfangen. Empfang ist weder Rücklesen noch Fahrberechtigung.
I have read back this exact warrant to the dispatcher by radio/telephone. I will wait for the dispatcher’s confirmation.|Jag har återläst exakt denna körorder till dispatchern via radio/telefon. Jag väntar på dispatcherns bekräftelse.|Jeg har gentaget netop denne ordre til dispatcheren via radio/telefon. Jeg venter på dispatcherens bekræftelse.|Jeg har lest tilbake nøyaktig denne ordren til dispatcheren via radio/telefon. Jeg venter på dispatcherens bekreftelse.|Ich habe genau diesen Fahrbefehl per Funk/Telefon zurückgelesen. Ich warte auf die Bestätigung des Dispatchers.
I verified the conductor’s readback against this exact warrant. The server will check conflicts atomically before activating.|Jag har kontrollerat conductorns återläsning mot exakt denna körorder. Servern kontrollerar konflikter atomärt före aktivering.|Jeg har kontrolleret conductorens gentagelse mod netop denne ordre. Serveren kontrollerer konflikter atomisk før aktivering.|Jeg har kontrollert conductorens tilbakelesning mot nøyaktig denne ordren. Serveren kontrollerer konflikter atomisk før aktivering.|Ich habe das Rücklesen mit genau diesem Fahrbefehl abgeglichen. Der Server prüft vor Aktivierung atomar auf Konflikte.
My train is clear of these limits and I am explicitly reporting this authority released. It remains held until the dispatcher confirms.|Mitt tåg är utanför dessa gränser och jag rapporterar uttryckligen körtillståndet frigivet. Det hålls tills dispatchern bekräftar.|Mit tog er fri af disse grænser, og jeg melder udtrykkeligt tilladelsen frigivet. Den holdes, indtil dispatcheren bekræfter.|Toget mitt er utenfor disse grensene, og jeg melder uttrykkelig tillatelsen frigitt. Den holdes til dispatcheren bekrefter.|Mein Zug hat diese Grenzen vollständig verlassen. Ich melde diese Fahrberechtigung ausdrücklich frei. Sie bleibt bis zur Bestätigung des Dispatchers belegt.
I verified the conductor’s release report. Close this warrant and release its limits.|Jag har kontrollerat conductorns frigivningsrapport. Avsluta körordern och frigör gränserna.|Jeg har kontrolleret conductorens frigivelsesrapport. Afslut ordren og frigiv grænserne.|Jeg har kontrollert conductorens frigivelsesrapport. Avslutt ordren og frigi grensene.|Ich habe die Freigabemeldung des Conductors geprüft. Fahrbefehl abschließen und Grenzen freigeben.
This is not an active authority. I have communicated that this warrant must not be used.|Detta är inget aktivt körtillstånd. Jag har meddelat att körordern inte får användas.|Dette er ikke en aktiv køretilladelse. Jeg har meddelt, at ordren ikke må bruges.|Dette er ikke en aktiv kjøretillatelse. Jeg har gitt beskjed om at ordren ikke må brukes.|Dies ist keine aktive Fahrberechtigung. Ich habe mitgeteilt, dass dieser Fahrbefehl nicht verwendet werden darf.
Close this session. All warrants must already be closed or void; history is retained.|Avsluta trafikpasset. Alla körorder måste redan vara avslutade eller ogiltiga. Historiken bevaras.|Afslut sessionen. Alle ordrer skal allerede være afsluttet eller annulleret. Historikken bevares.|Avslutt økten. Alle ordrer må allerede være avsluttet eller annullert. Historikken beholdes.|Sitzung beenden. Alle Fahrbefehle müssen abgeschlossen oder ungültig sein. Der Verlauf bleibt erhalten.
No authority issued. Timetable times do not authorize movement.|Inget körtillstånd utfärdat. Tidtabellstider ger inte tillstånd att köra.|Ingen køretilladelse udstedt. Køreplanstider giver ikke tilladelse til at køre.|Ingen kjøretillatelse utstedt. Rutetider gir ikke tillatelse til å kjøre.|Keine Fahrberechtigung erteilt. Fahrplanzeiten erteilen keine Fahrberechtigung.
Reports never release an authority. Use the warrant’s explicit release action.|Rapporter frigör aldrig ett körtillstånd. Använd körorderns särskilda frigivningsåtgärd.|Rapporter frigiver aldrig en tilladelse. Brug ordrens særlige frigivelseshandling.|Rapporter frigir aldri en tillatelse. Bruk ordrens egen frigivelseshandling.|Meldungen geben keine Fahrberechtigung frei. Nutze die ausdrückliche Freigabeaktion des Fahrbefehls.
Choose an ordered, connected track path. Limits may differ from the timetable. This draft gives no authority to move.|Välj en sammanhängande spårväg i ordning. Gränserna kan avvika från tidtabellen. Utkastet ger inte tillstånd att köra.|Vælg en sammenhængende sporvej i rækkefølge. Grænserne kan afvige fra køreplanen. Kladden giver ikke tilladelse til at køre.|Velg en sammenhengende sporvei i rekkefølge. Grensene kan avvike fra rutetabellen. Utkastet gir ikke tillatelse til å kjøre.|Wähle einen zusammenhängenden Gleisweg in Reihenfolge. Grenzen dürfen vom Fahrplan abweichen. Dieser Entwurf erteilt keine Fahrberechtigung.
Waiting for the dispatcher to assign your train. This page updates automatically.|Väntar på att dispatchern tilldelar ditt tåg. Sidan uppdateras automatiskt.|Venter på, at dispatcheren tildeler dit tog. Siden opdateres automatisk.|Venter på at dispatcheren tildeler toget ditt. Siden oppdateres automatisk.|Warte auf die Zugzuweisung durch den Dispatcher. Diese Seite aktualisiert sich automatisch.
Waiting for the dispatcher to start a session and assign your train.|Väntar på att dispatchern startar ett trafikpass och tilldelar ditt tåg.|Venter på, at dispatcheren starter en session og tildeler dit tog.|Venter på at dispatcheren starter en økt og tildeler toget ditt.|Warte darauf, dass der Dispatcher eine Sitzung startet und dir einen Zug zuweist.
No scheduled runs. Add an extra train.|Inga planerade tåguppdrag. Lägg till ett extratåg.|Ingen planlagte togkørsler. Tilføj et ekstratog.|Ingen planlagte togoppdrag. Legg til et ekstratog.|Keine geplanten Zugfahrten. Füge einen Sonderzug hinzu.
Extra train · no planned stops.|Extratåg · inga planerade stopp.|Ekstratog · ingen planlagte stop.|Ekstratog · ingen planlagte stopp.|Sonderzug · keine geplanten Halte.
Import a reviewed US runtime package. Its topology and timetable are frozen for this session; future Cloud changes cannot alter live authorities.|Importera ett granskat US-driftpaket. Bana och tidtabell låses för trafikpasset. Senare Cloud-ändringar kan inte ändra aktiva körtillstånd.|Importer en gennemgået US-driftspakke. Bane og køreplan låses for sessionen. Senere Cloud-ændringer kan ikke ændre aktive tilladelser.|Importer en gjennomgått US-driftspakke. Bane og rutetabell låses for økten. Senere Cloud-endringer kan ikke endre aktive tillatelser.|Importiere ein geprüftes US-Betriebspaket. Gleisplan und Fahrplan sind für die Sitzung eingefroren; spätere Cloud-Änderungen verändern keine aktiven Fahrberechtigungen.
Starts a new, separate US session. Does not modify EU traffic. No active US session can be replaced.|Startar ett nytt, separat US-trafikpass. EU-trafiken ändras inte. Ett aktivt US-trafikpass kan inte ersättas.|Starter en ny, separat US-session. EU-trafikken ændres ikke. En aktiv US-session kan ikke erstattes.|Starter en ny, separat US-økt. EU-trafikken endres ikke. En aktiv US-økt kan ikke erstattes.|Startet eine neue, getrennte US-Sitzung. Der EU-Betrieb bleibt unverändert. Eine aktive US-Sitzung kann nicht ersetzt werden.
I reviewed the topology and the model-railroad test profile.|Jag har granskat banan och modelljärnvägens testprofil.|Jeg har gennemgået banen og modelbanens testprofil.|Jeg har gjennomgått banen og modelljernbanens testprofil.|Ich habe den Gleisplan und das Modellbahn-Testprofil geprüft.
Assignment is controlled by the dispatcher. Finish any outstanding transmitted/active warrants before changing conductor.|Tilldelningen styrs av dispatchern. Avsluta alla utestående skickade eller aktiva körorder innan conductor byts.|Tildeling styres af dispatcheren. Afslut alle udestående sendte eller aktive ordrer før skift af conductor.|Tildeling styres av dispatcheren. Avslutt alle utestående sendte eller aktive ordrer før conductor byttes.|Die Zuweisung erfolgt durch den Dispatcher. Schließe ausstehende gesendete oder aktive Fahrbefehle ab, bevor der Conductor gewechselt wird.
A new run ID is created. The original timetable is unchanged.|Ett nytt uppdrags-ID skapas. Originaltidtabellen ändras inte.|Et nyt kørsels-ID oprettes. Den oprindelige køreplan ændres ikke.|En ny oppdrags-ID opprettes. Den opprinnelige rutetabellen endres ikke.|Eine neue Fahrt-ID wird erstellt. Der ursprüngliche Fahrplan bleibt unverändert.
Not machine-validated. Do not hide track limits or conflict exceptions here.|Inte maskinvaliderat. Lägg inte spårgränser eller konfliktundantag här.|Ikke maskinvalideret. Læg ikke sporgrænser eller konfliktundtagelser her.|Ikke maskinvalidert. Ikke legg sporgrenser eller konfliktunntak her.|Nicht maschinell geprüft. Hier keine Gleisgrenzen oder Konfliktausnahmen hinterlegen.
Language|Språk|Sprog|Språk|Sprache
Workspace|Arbetsyta|Arbejdsområde|Arbeidsområde|Arbeitsbereich
Overview|Översikt|Oversigt|Oversikt|Übersicht
Meets|Träffar|Træf|Treff|Treffen
Configuration|Konfiguration|Konfiguration|Konfigurasjon|Konfiguration
Meet settings|Träffinställningar|Træfindstillinger|Treffinnstillinger|Treffen-Einstellungen
Timetable|Tidtabell|Køreplan|Rutetabell|Fahrplan
Stations and aliases|Stationer och alias|Stationer og aliaser|Stasjoner og aliaser|Betriebsstellen und Aliasnamen
Track and sections|Bana och sträckor|Bane og strækninger|Bane og strekninger|Gleise und Strecken
Delivery|Leverans|Levering|Levering|Bereitstellung
Validation|Validering|Validering|Validering|Validierung
Publications|Publiceringar|Udgivelser|Publiseringer|Veröffentlichungen
Connected servers|Anslutna servrar|Tilsluttede servere|Tilkoblede servere|Verbundene Server
Users|Användare|Brugere|Brukere|Benutzer
Install server|Installera server|Installer server|Installer server|Server installieren
Settings|Inställningar|Indstillinger|Innstillinger|Einstellungen
System|System|System|System|System
Import|Import|Import|Import|Import
Meet overview|Träfföversikt|Træfoversigt|Treffoversikt|Treffenübersicht
All meets|Alla träffar|Alle træf|Alle treff|Alle Treffen
New meet|Ny träff|Nyt træf|Nytt treff|Neues Treffen
Choose a meet|Välj en träff|Vælg et træf|Velg et treff|Treffen auswählen
Active meet|Aktiv träff|Aktivt træf|Aktivt treff|Aktives Treffen
No active meet|Ingen aktiv träff|Intet aktivt træf|Ingen aktive treff|Kein aktives Treffen
Private workspace|Privat arbetsyta|Privat arbejdsområde|Privat arbeidsområde|Privater Arbeitsbereich
Cloud connected|Cloud ansluten|Cloud tilsluttet|Cloud tilkoblet|Cloud verbunden
Cloud linked|Cloud kopplad|Cloud forbundet|Cloud tilkoblet|Cloud verknüpft
Local config|lokal config|lokal config|lokal config|lokale Config
